# avoid	prefer	kind	tier	fix_hint	pattern	notes
# kind cliche_phrase → Pattern 33
kraftfullt budskap		cliche_phrase		Säg vad budskapet gör.		
tydligt budskap		cliche_phrase		Säg själva budskapet.		
tydlig riktning		cliche_phrase		Beskriv riktning.		
tydlig vision		cliche_phrase		Konkret målbild.		
gemensam vision		cliche_phrase		Konkret målbild.		
gemensamma värderingar		cliche_phrase		Lista beteenden.		
gemensamt mål		cliche_phrase		Mätetal och deadline.		
gemensam nämnare		cliche_phrase		Säg vad som förenar.		
en enad front		cliche_phrase		Beskriv positioner.		
enad organisation		cliche_phrase		Beskriv styrning och roller.		
stämma väl överens		cliche_phrase		Beskriv överensstämmelse.		
gå hand i hand		cliche_phrase		Beskriv samband.		
två sidor av samma mynt		cliche_phrase		Beskriv avvägning.		
balans mellan		cliche_phrase		Säg vilka avvägningar och val.		
hitta balansen		cliche_phrase		Säg vilka avvägningar och val.		
navigera i komplexitet		cliche_phrase		Beskriv beslut och osäkerhet.		
hantera komplexitet		cliche_phrase		Beskriv metod.		
reducera komplexitet		cliche_phrase		Beskriv förenkling.		
förenkla resonemanget		cliche_phrase		Korta ner till fakta.		
förenklad bild		cliche_phrase		Ange antaganden.		
stor bild		cliche_phrase		Säg vad som ingår i bilden.		
helicopter view		cliche_phrase		Lista nivåer och beslut.		
duvhöjd		cliche_phrase		Lista nivåer och beslut.		
överblick		cliche_phrase		Ofta tom — ge innehåll.		
öka medvetenheten		cliche_phrase		Vem, om vad, hur?		
öka förståelsen		cliche_phrase		Vad ska förstås?		
skapa förståelse		cliche_phrase		Vad ska förstås?		
skapa engagemang		cliche_phrase		Hur mäts det?		
öka engagemanget		cliche_phrase		Hur mäts det?		
stärka varumärket		cliche_phrase		Konkreta aktiviteter och KPI.		
positionera oss		cliche_phrase		Mot vad, för vem?		
positionering		cliche_phrase		Beskriv målgrupp och löfte.		
differentiera oss		cliche_phrase		Namnge unika egenskaper.		
unik position		cliche_phrase		Bevisa med jämförelse.		
unikt erbjudande		cliche_phrase		Bevisa med jämförelse.		
unik möjlighet		cliche_phrase		Tidsfönster och villkor.		
unikt tillfälle		cliche_phrase		Tidsfönster och villkor.		
historiskt tillfälle		cliche_phrase		Varför nu?		
vändpunkt		cliche_phrase		Vad vänder, enligt vad?		
milstolpe		cliche_phrase		Namnge leverans och datum.		
miljö som präglas av		cliche_phrase		Beskriv faktorer.		
landskap som förändras		cliche_phrase		Beskriv förändring.		
i ett skifte		cliche_phrase		Vad skiftar?		
i ett teknikskifte		cliche_phrase		Vilken teknik, vilka effekter?		
i en tid av förändring		cliche_phrase		Vad förändras?		
oroliga tider		cliche_phrase		Specificera risker.		
osäkra tider		cliche_phrase		Specificera risker.		
utmanande tider		cliche_phrase		Specificera utmaning.		
spännande tider		cliche_phrase		Ofta tomt — säg vad som händer.		
möjligheternas marknad		cliche_phrase		Vilka möjligheter, för vem?		
möjligheternas tid		cliche_phrase		Vilka möjligheter, för vem?		
tiden är inne		cliche_phrase		Varför nu?		
tiden är mogen		cliche_phrase		Varför nu?		
det är nu det gäller		cliche_phrase		Varför nu?		
nu eller aldrig		cliche_phrase		Riskanalys i stället för panik.		
det handlar om att		cliche_phrase		Säg vad det handlar om.		
i grund och botten		cliche_phrase		Säg kärnan.		
när allt kommer omkring		cliche_phrase		Säg kärnan.		
i slutändan		cliche_phrase		Säg slutsatsen.		
sammanfattningsvis kan man säga		cliche_phrase		Säg slutsatsen utan ram.		
det finns ingen väg tillbaka		cliche_phrase		Argumentera i stället för dramatik.		
det är nu eller aldrig		cliche_phrase		Riskanalys.		
det är dags att agera		cliche_phrase		Vad ska göras, av vem?		
det är hög tid att		cliche_phrase		Vad ska göras, av vem?		
vi står inför		cliche_phrase		Beskriv utmaning konkret.		
vi står handfallna		cliche_phrase		Beskriv problem och åtgärd.		
vi har en utmaning		cliche_phrase		Beskriv mål och hinder.		
en gemensam utmaning		cliche_phrase		Beskriv mål och hinder.		
en komplex utmaning		cliche_phrase		Bryt ner i delar.		
en mångfacetterad utmaning		cliche_phrase		Bryt ner i delar.		
en komplex frågeställning		cliche_phrase		Bryt ner i delar.		
en komplex verklighet		cliche_phrase		Bryt ner i delar.		
en komplex omvärld		cliche_phrase		Bryt ner i delar.		
en alltmer komplex		cliche_phrase		Bryt ner i delar.		
