# avoid	prefer	kind	tier	fix_hint	pattern	notes
# kind hedging_phrase → Pattern 23 (category hedging)
det är inte givet att		hedging_phrase	2	Säg vad som är oklart.
det är långt ifrån säkert att		hedging_phrase	2	Beskriv osäkerhet.
det är inte helt klart om		hedging_phrase	2	Säg vad som saknas.
det är oklart huruvida		hedging_phrase	2	Säg vad som saknas.
det råder oklarhet om huruvida		hedging_phrase	2	Säg vad som saknas.
det finns en risk att möjligen		hedging_phrase	2	Beskriv risk och sannolikhet.
det kan finnas en möjlig risk att		hedging_phrase	2	Beskriv risk.
risken är inte helt försumbar att		hedging_phrase	2	Kvantifiera risk.
vi utesluter inte risken att		hedging_phrase	2	Beskriv risk.
vi kan inte garantera att		hedging_phrase	2	Säg vad som garanteras.
vi kan inte lova att		hedging_phrase	2	Säg vad som lovas.
det är ingen garanti för att		hedging_phrase	2	Säg villkor.
utan garanti för att		hedging_phrase	2	Säg villkor.
med reservation för att		hedging_phrase	2	Nämn reservation.
med förbehåll om att		hedging_phrase	2	Nämn förbehåll.
om inte annat anges kan det antas		hedging_phrase	2	Gör antagandet explicit.
i avsaknad av annan information		hedging_phrase	2	Säg vilken info som saknas.
så länge inget annat framkommer		hedging_phrase	2	Säg vilken info som saknas.
i nuläget bedöms det som		hedging_phrase	2	Säg underlag för bedömning.
för närvarande verkar det som att		hedging_phrase	2	Säg observation och osäkerhet.
just nu ser det ut som att		hedging_phrase	2	Säg observation och osäkerhet.
preliminärt kan man säga att		hedging_phrase	2	Säg vad som återstår för att fastställa.
preliminärt sett		hedging_phrase	2	Säg vad som återstår.
tillfälligt sett		hedging_phrase	2	Säg tidsplan.
tills vidare kan antas		hedging_phrase	2	Säg när besked kommer.
under överskådlig tid		hedging_phrase	2	Säg tidshorisont.
på sikt kan det		hedging_phrase	2	Säg tidshorisont.
på kort sikt kan det		hedging_phrase	2	Säg tidshorisont.
på lång sikt kan det		hedging_phrase	2	Säg tidshorisont.
