# avoid	prefer	kind	tier	fix_hint	pattern	notes
# kind: autofix | phrase_flag | tier1_phrase | template | skip

the apple doesn't fall far from the tree		phrase_flag	2	say it plainly		proselint clichés
the early bird catches the worm		phrase_flag	2	say it plainly		proselint clichés
the lion's den		phrase_flag	2	say it plainly		proselint clichés
the plot thickens		phrase_flag	2	say it plainly		proselint clichés
the proof is in the pudding		phrase_flag	2	say it plainly		proselint clichés
the sky is the limit		phrase_flag	2	say it plainly		proselint clichés
the straw that broke the camel's back		phrase_flag	2	say it plainly		proselint clichés
thick as thieves		phrase_flag	2	say it plainly		proselint clichés
thin as a rail		phrase_flag	2	say it plainly		proselint clichés
third time's the charm		phrase_flag	2	say it plainly		proselint clichés
throw caution to the wind		phrase_flag	2	say it plainly		proselint clichés
throw in the towel		phrase_flag	2	say it plainly		proselint clichés
tie the knot		phrase_flag	2	say it plainly		proselint clichés
till the cows come home		phrase_flag	2	say it plainly		proselint clichés
time flies		phrase_flag	2	say it plainly		proselint clichés
too many cooks spoil the broth		phrase_flag	2	say it plainly		proselint clichés
top dog		phrase_flag	2	say it plainly		proselint clichés
tough cookie		phrase_flag	2	say it plainly		proselint clichés
turn a blind eye		phrase_flag	2	say it plainly		proselint clichés
twist someone's arm		phrase_flag	2	say it plainly		proselint clichés
two peas in a pod		phrase_flag	2	say it plainly		proselint clichés
under the gun		phrase_flag	2	say it plainly		proselint clichés
until the cows come home		phrase_flag	2	say it plainly		proselint clichés
up in arms		phrase_flag	2	say it plainly		proselint clichés
vanishing act		phrase_flag	2	say it plainly		proselint clichés
wait for the other shoe to drop		phrase_flag	2	say it plainly		proselint clichés
wake-up call		phrase_flag	2	say it plainly		proselint clichés
warm the bench		phrase_flag	2	say it plainly		proselint clichés
wash your hands of it		phrase_flag	2	say it plainly		proselint clichés
water under the bridge		phrase_flag	2	say it plainly		proselint clichés
wear your heart on your sleeve		phrase_flag	2	say it plainly		proselint clichés
when pigs fly		phrase_flag	2	say it plainly		proselint clichés
wild card		phrase_flag	2	say it plainly		proselint clichés
wolf in sheep's clothing		phrase_flag	2	say it plainly		proselint clichés
word to the wise		phrase_flag	2	say it plainly		proselint clichés
work like a dog		phrase_flag	2	say it plainly		proselint clichés
world is your oyster		phrase_flag	2	say it plainly		proselint clichés
worth its weight in gold		phrase_flag	2	say it plainly		proselint clichés
yoke around your neck		phrase_flag	2	say it plainly		proselint clichés
you can lead a horse to water		phrase_flag	2	say it plainly		proselint clichés
zero hour		phrase_flag	2	say it plainly		proselint clichés
